sequence,label,profile_name,workload_name,repeat,concurrency,request_count,status,evaluation_run_id,deployment_seconds,evaluation_seconds,successful_requests,failed_requests,error_rate,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_end_to_end_latency_ms,p95_end_to_end_latency_ms,p99_end_to_end_latency_ms,output_tokens_per_second,request_throughput_per_second,quality_score,total_input_tokens,total_output_tokens,error
1,control-concurrency-1,control,short-chat,1,1,50,succeeded,adc95a82-b983-454d-811f-8547931174ab,76.48714168900005,32.14546652399997,50,0,0.0,38.2860319999736,39.74502799997026,152.1487369999477,460.00274499999705,2307.9349380000167,2348.7728339999876,65.55504295592075,1.8089139888499104,,1678,1812,
2,control-concurrency-1,control,short-chat,2,1,50,succeeded,aa689311-c31e-4c62-a3b9-0cc911e71acf,76.47665241099992,32.142053944000054,50,0,0.0,38.32358999989083,39.5456500000364,150.04339299991898,459.8020779999388,2306.109869000011,2348.9899009999817,65.58542441150827,1.8097523292358795,,1678,1812,
3,control-concurrency-1,control,short-chat,3,1,50,succeeded,89d3e483-bf31-4436-9a75-b21b7a27fd4c,76.47482550300003,31.137105781999935,50,0,0.0,38.096547000009195,39.34427600006529,149.86833000000388,459.6715860000131,2306.7334890000666,2350.032656999929,65.58821907588467,1.8098294446988041,,1678,1812,
4,control-concurrency-2,control,short-chat,1,2,50,succeeded,d2ba0708-a4bb-4e44-9616-8528b3467f13,76.49387787800003,18.082927100999996,50,0,0.0,45.95929900006013,62.07056800008104,148.27618499998607,494.9708940000619,2454.688733000012,2494.415836000144,120.96988911140761,3.36401248919376,,1678,1798,
5,control-concurrency-2,control,short-chat,2,2,50,succeeded,2fa92e96-d99d-405e-a0e2-5c3ef58a3ba1,76.47660764099987,18.08284813099999,50,0,0.0,45.99649900001168,60.31413999994584,147.53731599989806,494.75981999989926,2454.6900069999538,2494.328769000049,120.98469427598586,3.3644242012231884,,1678,1798,
6,control-concurrency-2,control,short-chat,3,2,50,succeeded,d1bc7e42-191d-466b-9d7f-2f4dd2bf59e7,76.49151155499999,18.083544795999842,50,0,0.0,45.9609790000286,60.74657700014541,150.85001600004944,494.4103620000533,2455.876911000132,2494.1764810000677,120.94361620054457,3.363281874319927,,1678,1798,
7,control-concurrency-4,control,short-chat,1,4,50,succeeded,68aaf66a-68be-43ab-805d-3a5b5ad0d15b,76.47363177299985,11.054819353999846,50,0,0.0,47.921438000003036,63.46492800003034,155.02237700002297,433.38862599989625,1418.3575759998348,2563.6705370000072,206.58721570288964,6.2907191139734975,,1678,1642,
8,control-concurrency-4,control,short-chat,2,4,50,succeeded,7bc919e7-3dfc-4f69-8237-164d0e9e7fba,76.51489488199991,11.054942909999909,50,0,0.0,48.08612900001208,63.803225000128805,168.43926499996087,430.46673699996063,1641.1168040001485,2548.7542359999225,205.15556815675282,6.1645302931716595,,1678,1664,
9,control-concurrency-4,control,short-chat,3,4,50,succeeded,4c5dcff8-864b-47fa-9ac1-eeb56a85872c,76.51486052099995,10.051719021000054,50,0,0.0,47.957395999901564,64.65986099988186,154.92794500005402,434.45496000003914,1292.3367099999723,2035.1320269999178,211.25264477875152,6.668328433672712,,1678,1584,
10,control-concurrency-8,control,short-chat,1,8,50,succeeded,a7f32bb9-ad45-41c1-84a8-e510b426f537,76.48026192800012,7.039683932000116,50,0,0.0,50.69167900001048,82.29676500013738,83.06363700012298,472.6096140000209,1950.0625599998784,2665.5995569999504,348.9404417002605,10.459845374708049,,1678,1668,
11,control-concurrency-8,control,short-chat,2,8,50,succeeded,56d80cc5-c14d-4370-a68b-c008d713e106,76.54247152300013,7.039176602999987,50,0,0.0,51.260287000104654,83.93424899986712,85.4457820000789,463.34837400013384,2103.3909799998582,2581.445862999999,343.5771633111398,10.292904832568599,,1678,1669,
12,control-concurrency-8,control,short-chat,3,8,50,succeeded,170e71f7-1e3d-4e2f-8139-bc15d7bf3020,76.53109670700019,8.043277893000095,50,0,0.0,50.47404400011146,79.07002499996452,79.66815300005692,457.97678899998573,2104.046502000074,2668.5730080000667,319.66193172012663,9.559268293065989,,1678,1672,
13,prefix-off,control,shared-prefix,1,4,60,succeeded,0062cbe6-baad-49c6-994a-156116f2cab2,76.52510175999987,9.046918134999942,60,0,0.0,64.56647899995005,121.63669300002766,162.2195049999391,386.1071549999906,471.1391079999885,554.4215750001058,177.9994691800746,10.33878814211469,,12356,1033,
14,prefix-off,control,shared-prefix,2,4,60,succeeded,18f489e1-dc46-43af-94eb-41bfb417ae4e,76.50263459300004,8.04333632099997,60,0,0.0,64.27746499980458,89.90689799998108,121.28597900004934,386.9108490000599,465.3948819998277,471.40499400006775,182.02473827228448,10.501427208016413,,12356,1040,
15,prefix-off,control,shared-prefix,3,4,60,succeeded,7da9da35-df81-43c7-a2c3-359d26dd5baa,76.52563745099997,8.043594945999985,60,0,0.0,64.23870599996917,121.53043400007846,163.45192799985853,392.3484299998563,465.3217290001521,555.7957369999258,178.1016134052738,10.37485126632663,,12356,1030,
16,prefix-on,prefix-on,shared-prefix,1,4,60,succeeded,1eb0a6f2-0747-4314-8b3c-7ac36219e15b,76.52901277499996,7.03719750900018,60,0,0.0,47.56765899992388,55.222327999672416,145.35788000011962,332.721734000188,387.5571339999624,452.8655269996307,217.24451455283946,12.437663046918289,,12356,1048,
17,prefix-on,prefix-on,shared-prefix,2,4,60,succeeded,baca70ce-cc95-4b6d-86b4-3cb87a9e1894,76.50314843200022,8.044303874999969,60,0,0.0,46.95399999991423,59.02234599989242,151.2529709998489,319.85742899996694,386.5970329998163,465.9911710000415,216.41707906555533,12.343179414385284,,12356,1052,
18,prefix-on,prefix-on,shared-prefix,3,4,60,succeeded,0de6a855-c2a2-446d-81cb-455343fbe72f,76.50292218599998,7.039854235000348,60,0,0.0,46.92112900011125,56.79239000028247,152.75198199969964,331.7459750001035,386.8077090000952,467.629049000152,217.5830407455603,12.316021174277,,12356,1060,
19,max-seqs-1,max-seqs-1,short-chat,1,8,50,succeeded,697ecce2-e44c-48b9-a44c-f12157edcd1d,66.52575150400025,31.13982718499983,50,0,0.0,3305.097217000366,5353.873090999969,5485.187461999885,4257.558587999938,5804.596428999957,5965.5699669997375,66.37172692663765,1.831449418505454,,1678,1812,
20,max-seqs-1,max-seqs-1,short-chat,2,8,50,succeeded,a25ae27e-4c8d-40cd-9bfe-1287aeb36e63,66.48524834399996,31.136727130000054,50,0,0.0,3302.7241039999353,5353.632979000395,5481.74383300011,4255.8330800002295,5804.541747000258,5964.119692999702,66.39037338178976,1.8319639454136245,,1678,1812,
21,max-seqs-1,max-seqs-1,short-chat,3,8,50,succeeded,d1c82161-30ce-4111-a4f6-c836fa860f35,66.48408156799997,31.134219739999935,50,0,0.0,3301.808327999879,5353.799443999833,5482.187424000131,4255.51085699999,5804.596177999883,5965.0658740001745,66.39686827146095,1.8321431642235362,,1678,1812,
22,max-seqs-16,max-seqs-16,short-chat,1,8,50,succeeded,f64c9715-9712-43f8-addc-ca6db8bca026,76.48141718599982,8.042959565999809,50,0,0.0,50.97862999991776,71.93227100015065,72.93511500029126,462.79464899998857,2104.912676999902,2583.086461000221,344.02774767279766,10.306403465332464,,1678,1669,
23,max-seqs-16,max-seqs-16,short-chat,2,8,50,succeeded,2600b53f-7127-46d8-a2fd-851923b3a0c5,76.49810896999998,7.03838903399992,50,0,0.0,52.54814299996724,77.71691700008887,78.37945799974477,464.79027700024744,2115.5238770002143,2585.8493430000635,342.4399411396501,10.25883586397993,,1678,1669,
24,max-seqs-16,max-seqs-16,short-chat,3,8,50,succeeded,fadac497-f241-490c-aca9-eb8ea681e272,76.46039332700002,7.038749709000058,50,0,0.0,50.36143200004517,119.93017499980851,121.70561299990368,458.48251100005655,1948.4231269998418,2620.052964000024,350.51303559508096,10.481849150570604,,1678,1672,
25,control-long-context,control,long-context,1,4,45,succeeded,3c9cc623-25d9-454b-8122-5708003a33a4,76.4944126119999,20.09100388600018,45,0,0.0,75.47608100003345,188.45961299984992,213.0690379999578,1333.1794050000099,2196.6580090002026,2256.327367999802,221.17118938765952,2.7342592094628237,,16170,3640,
26,control-long-context,control,long-context,2,4,45,succeeded,62cc66da-0fe9-4359-8698-56a1b166484a,76.51342208100004,20.091936280000027,45,0,0.0,75.33247799983656,184.0987169998698,185.43344699992304,1341.8669560001035,2196.4410420000604,2332.8427530000226,224.6801960015458,2.7715484704138054,,16170,3648,
27,control-long-context,control,long-context,3,4,45,succeeded,393509d8-2355-4854-b9d8-8e1d8bdaa6d7,76.48361618599984,20.094196686000032,45,0,0.0,75.47935699994923,183.01452300011078,185.63899199989464,1304.744778999975,2196.7876150001757,2317.483897999864,223.38118789705362,2.7992630062287422,,16170,3591,
28,quality-control,control,quality,1,2,52,succeeded,9111173c-e6d0-4a81-9e30-0ff6e2cbf1a8,76.49285993600006,5.0310290729999,52,0,0.0,48.508801000025414,61.62660899963157,146.18245499968907,82.01120699959574,193.3248359996469,204.04042700010905,78.14031055666612,20.115327470032863,0.9807692307692307,2129,202,
29,quality-prefix-on,prefix-on,quality,1,2,52,succeeded,64d86507-8f14-4e8e-9e6a-72fa1c9be41f,76.50686115200006,4.027426201000253,52,0,0.0,47.49601999992592,62.57121899989215,148.7025450001056,79.55550600036077,193.66645699983565,202.68831400017007,80.1399593595014,20.732725804448123,0.9807692307692307,2129,201,
